Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PER
Desmond Bane,2130240,SG,24,MEM,21.5,1841,31.7,0.479,0.408,0.883,5.0,4.4,1.0,0.4,2.2,19.1
Jaden Springer,2125200,SG,20,PHI,2.6,89,5.6,0.486,0.4,0.75,0.9,0.5,0.4,0.2,0.2,17.2
Day'Ron Sharpe,2109480,C,21,BRK,4.7,552,11.5,0.544,0.545,0.636,4.2,0.8,0.3,0.7,0.9,17.8
Tony Bradley,2036318,C,25,CHI,1.6,33,2.8,0.5,0.6,1.0,0.9,0.1,0.1,0.1,0.1,21.7
Frank Ntilikina,2036318,SG,24,DAL,2.9,607,12.9,0.364,0.254,0.667,1.3,1.2,0.3,0.1,0.6,5.2
Garrison Mathews,2000000,SG,26,HOU/ATL,4.8,686,12.7,0.363,0.35,0.906,1.4,0.5,0.4,0.1,0.4,9.7
Jaylin Williams,2000000,C,20,OKC,5.9,914,18.7,0.436,0.407,0.704,4.9,1.6,0.6,0.2,0.8,11.2
Jeremiah Robinson-Earl,2000000,PF,22,OKC,6.8,814,18.9,0.444,0.333,0.833,4.2,1.0,0.6,0.3,0.4,13.0
Kenrich Williams,2000000,PF,28,OKC,8.0,1206,22.8,0.517,0.373,0.436,4.9,2.0,0.8,0.3,0.6,14.4
Caleb Houstan,2000000,SF,20,ORL,3.8,812,15.9,0.363,0.338,0.833,1.9,0.6,0.2,0.1,0.4,6.2
Shake Milton,1997718,SG,26,PHI,8.4,1567,20.6,0.479,0.378,0.853,2.5,3.2,0.3,0.2,1.2,12.7
Aaron Holiday,1968175,PG,26,ATL,3.9,845,13.4,0.418,0.409,0.844,1.2,1.4,0.6,0.2,0.6,9.4
Yuta Watanabe,1968175,SF,28,BRK,5.6,928,16.0,0.491,0.444,0.723,2.4,0.8,0.4,0.3,0.4,12.1
Edmond Sumner,1968175,SG,27,BRK,7.1,736,13.9,0.461,0.356,0.917,1.5,1.3,0.6,0.2,0.9,14.0
Theo Pinson,1968175,SG,27,DAL,2.4,323,8.1,0.356,0.355,0.846,1.6,1.2,0.2,0.0,0.3,10.1
Thomas Bryant,1968175,C,25,DEN/LAL,9.8,1081,18.3,0.623,0.441,0.738,5.7,0.5,0.3,0.5,0.6,19.7
Josh Okogie,1968175,SG,24,PHO,7.3,1350,18.8,0.391,0.335,0.724,3.5,1.5,0.8,0.5,0.9,13.3
Drew Eubanks,1968175,C,25,POR,6.6,1584,20.3,0.641,0.389,0.664,5.4,1.3,0.5,1.3,0.9,16.2
Dean Wade,1930681,PF,26,CLE,4.7,891,20.3,0.412,0.354,0.652,3.4,0.8,0.6,0.5,0.4,8.5
Terance Mann,1930681,SG,26,LAC,8.8,1872,23.1,0.519,0.389,0.78,3.4,2.3,0.5,0.3,1.0,13.4
Jaylen Nowell,1930681,SG,23,MIN,10.8,1252,19.3,0.448,0.289,0.778,2.6,2.0,0.6,0.1,1.0,13.7
Naz Reid,1930681,C,23,MIN,11.5,1251,18.4,0.537,0.346,0.677,4.9,1.1,0.6,0.8,1.4,18.5
Jalen McDaniels,1930681,SF,25,PHI/CHO,9.4,1913,23.9,0.455,0.332,0.841,4.3,1.6,1.0,0.4,1.2,11.8
Daniel Gafford,1930681,C,24,WAS,9.0,1604,20.6,0.732,,0.679,5.6,1.1,0.4,1.3,1.1,19.7
Chimezie Metu,1910860,PF,25,SAC,4.9,689,10.4,0.589,0.237,0.74,3.0,0.6,0.3,0.3,0.5,17.3
Davon Reed,1902133,SG,27,DEN/LAL,2.1,342,8.0,0.333,0.37,0.667,1.4,0.5,0.3,0.1,0.5,6.2
KZ Okpala,1902133,PF,23,SAC,1.3,248,7.1,0.421,0.333,0.875,1.0,0.4,0.2,0.2,0.2,6.2
Wenyen Gabriel,1878720,C,25,LAL,5.5,1024,15.1,0.596,0.278,0.619,4.2,0.5,0.4,0.5,0.7,14.4
Thanasis Antetokounmpo,1878720,PF,30,MIL,1.4,206,5.6,0.435,0.0,0.5,1.2,0.4,0.1,0.1,0.3,6.7
Moritz Wagner,1878720,C,25,ORL,10.5,1109,19.5,0.5,0.313,0.841,4.5,1.5,0.6,0.2,1.2,17.4
Keita Bates-Diop,1878720,PF,27,SAS,9.7,1452,21.7,0.508,0.394,0.793,3.7,1.5,0.7,0.3,0.8,14.9
Oshae Brissett,1846738,PF,24,IND,6.1,1083,16.7,0.386,0.31,0.717,3.4,0.7,0.5,0.2,0.5,10.6
Nathan Knight,1836090,C,25,MIN,3.7,291,7.7,0.568,0.364,0.684,1.5,0.3,0.3,0.2,0.6,14.5
Justin Jackson,1836090,SF,27,BOS,0.9,107,4.7,0.259,0.25,0.5,0.7,0.4,0.2,0.2,0.1,6.3
Isaiah Joe,1836090,SG,23,OKC,9.5,1395,19.1,0.441,0.409,0.82,2.4,1.2,0.7,0.1,0.5,14.5
Ryan Arcidiacono,1836090,PG,28,NYK/POR,1.3,172,8.6,0.243,0.348,,0.8,1.2,0.3,0.0,0.4,2.7
Anthony Gill,1836090,PF,30,WAS,3.3,624,10.6,0.538,0.138,0.731,1.7,0.6,0.1,0.2,0.3,11.1
Javonte Green,1815677,SF,29,CHI,5.2,480,15.0,0.565,0.371,0.667,2.8,0.7,0.8,0.7,0.6,14.5
Gabe Vincent,1815677,PG,26,MIA,9.4,1759,25.9,0.402,0.334,0.872,2.1,2.5,0.9,0.1,1.4,9.0
Max Strus,1815677,SF,26,MIA,11.5,2272,28.4,0.41,0.35,0.876,3.2,2.1,0.5,0.2,0.9,10.8
Nick Richards,1782621,C,25,CHO,8.2,1217,18.7,0.629,1.0,0.749,6.4,0.6,0.2,1.1,0.9,18.3
Lamar Stevens,1782621,SF,25,CLE,5.3,1120,18.1,0.448,0.316,0.702,3.3,0.5,0.4,0.3,0.4,9.5
Naji Marshall,1782621,SF,25,NOP,9.1,1792,23.3,0.433,0.303,0.789,3.6,2.5,0.7,0.2,1.3,11.4
Paul Reed,1782621,C,23,PHI,4.2,755,10.9,0.593,0.167,0.745,3.8,0.4,0.7,0.7,0.7,19.2
Tre Jones,1782621,PG,23,SAS,12.9,1984,29.2,0.459,0.285,0.86,3.6,6.6,1.3,0.1,1.6,16.0
Haywood Highsmith,1752638,PF,26,MIA,4.4,969,17.9,0.431,0.339,0.464,3.5,0.8,0.7,0.3,0.8,8.5
Omer Yurtseven,1752638,C,24,MIA,4.4,83,9.2,0.593,0.429,0.833,2.6,0.2,0.2,0.2,0.4,16.7
Leandro Bolmaro,1709300,SF,22,UTA,0.4,68,4.9,0.15,0.0,,0.5,0.5,0.2,0.1,0.5,-5.0
